T,Z,Y,X,Score,Size,Confidence,Angle
3.0,0.0,251.8822479248047,64.0528793334961,1.0,44.0,0.9851301908493042,2.0
6.0,0.0,139.55134773254395,256.0748100280762,0.9999992847442627,44.0,0.9824053049087524,2.0
9.0,0.0,211.58070945739746,84.18522644042969,1.0,44.0,0.9858216047286987,2.0
16.0,0.0,191.91506958007812,268.1033592224121,1.0,43.0,0.9784564971923828,2.0
17.0,0.0,276.17942810058594,449.2345275878906,1.0,43.0,0.9732555150985718,2.0
21.0,0.0,276.0291175842285,481.02481842041016,0.9999996423721313,43.0,0.9715064167976379,2.0
35.0,0.0,427.1593551635742,500.73088455200195,0.9999933242797852,42.0,0.9561089873313904,2.0
37.0,0.0,487.51836013793945,52.035675048828125,1.0,43.0,0.9766437411308289,2.0
38.0,0.0,491.92762565612793,52.11720657348633,1.0,43.0,0.9766783714294434,2.0
46.0,0.0,143.94129180908203,371.9312686920166,1.0,44.0,0.9806309938430786,2.0
52.0,0.0,183.70576858520508,308.64002990722656,1.0,43.0,0.9701966643333435,2.0
52.0,0.0,168.23649978637695,367.99155616760254,1.0,43.0,0.973503589630127,2.0
53.0,0.0,176.06408309936523,375.7649745941162,1.0,43.0,0.9647291898727417,2.0
53.0,0.0,183.14729118347168,308.78712463378906,1.0,43.0,0.9642539024353027,2.0
56.0,0.0,43.291114807128906,47.95341491699219,1.0,43.0,0.9599868059158325,2.0
56.0,0.0,84.14570617675781,91.71352195739746,1.0,43.0,0.9756792187690735,2.0
56.0,0.0,151.96095275878906,199.8716926574707,1.0,43.0,0.9780956506729126,2.0
56.0,0.0,287.4950866699219,32.11882019042969,1.0,44.0,0.9845689535140991,2.0
59.0,0.0,36.052467346191406,80.07953262329102,1.0,43.0,0.9787381887435913,2.0
60.0,0.0,380.04540252685547,264.0603561401367,0.9999997615814209,44.0,0.9801496267318726,2.0
61.0,0.0,48.01599884033203,148.09822463989258,1.0,43.0,0.9768657684326172,2.0
61.0,0.0,163.98178100585938,204.21373748779297,0.9999228715896606,43.0,0.968278169631958,2.0
64.0,0.0,508.2342643737793,475.6528625488281,1.0,43.0,0.9676837921142578,2.0
70.0,0.0,211.42199897766113,364.342098236084,1.0,44.0,0.9796546697616577,2.0
70.0,0.0,140.40685272216797,211.95493125915527,0.9999996423721313,44.0,0.9899806976318359,2.0
70.0,0.0,36.349449157714844,104.02896118164062,0.9999995231628418,44.0,0.9920188188552856,2.0
74.0,0.0,376.0599822998047,251.60638999938965,0.9999980926513672,42.0,0.9564508199691772,2.0
76.0,0.0,196.2137908935547,396.09906005859375,1.0,43.0,0.9726642370223999,2.0
76.0,0.0,207.1946849822998,247.87195587158203,0.9999862909317017,44.0,0.9875926971435547,2.0
82.0,0.0,211.68327713012695,87.66929626464844,1.0,43.0,0.9790869951248169,2.0
82.0,0.0,51.95688438415527,207.88746070861816,1.0,43.0,0.975326418876648,2.0
82.0,0.0,139.90531539916992,283.6887741088867,0.999998927116394,44.0,0.9851634502410889,2.0
83.0,0.0,207.6739616394043,83.96078681945801,1.0,43.0,0.9612020254135132,2.0
83.0,0.0,47.734994888305664,207.8445701599121,1.0,43.0,0.9763748645782471,2.0
85.0,0.0,139.78965759277344,308.0361328125,0.999984622001648,44.0,0.9807476997375488,2.0
89.0,0.0,151.62009811401367,263.98832511901855,1.0,41.0,0.9248313307762146,2.0
89.0,0.0,267.85597038269043,449.0524787902832,1.0,42.0,0.9588958024978638,2.0
96.0,0.0,263.9206314086914,71.84606552124023,1.0,43.0,0.9672109484672546,2.0
97.0,0.0,287.1936569213867,485.0127372741699,0.999987006187439,43.0,0.9612679481506348,2.0
99.0,0.0,287.20749282836914,484.81335639953613,1.0,42.0,0.9556519985198975,2.0
102.0,0.0,427.8114891052246,476.84004402160645,0.9999979734420776,42.0,0.9563528895378113,2.0
102.0,0.0,320.1221618652344,35.750715255737305,0.9999781847000122,43.0,0.9731219410896301,2.0
103.0,0.0,263.93030548095703,484.7571506500244,1.0,43.0,0.9621381759643555,2.0
103.0,0.0,315.8899459838867,40.159828186035156,0.9998884201049805,42.0,0.951157808303833,2.0
104.0,0.0,307.91865730285645,448.59056854248047,1.0,41.0,0.9357963800430298,2.0
105.0,0.0,504.1543731689453,508.013240814209,1.0,44.0,0.9890114068984985,2.0
110.0,0.0,211.976318359375,35.982465744018555,1.0,43.0,0.9749473333358765,2.0
115.0,0.0,488.4938087463379,68.55243301391602,1.0,43.0,0.9714289903640747,2.0
117.0,0.0,411.9192657470703,496.1732063293457,1.0,41.0,0.9171109199523926,2.0
117.0,0.0,255.85040473937988,380.1967430114746,0.9999979734420776,43.0,0.966750979423523,2.0
118.0,0.0,247.7978916168213,375.89222145080566,1.0,43.0,0.977574348449707,2.0
119.0,0.0,407.9199676513672,492.19527435302734,1.0,42.0,0.9546771049499512,2.0
119.0,0.0,483.69885444641113,507.5273723602295,0.9999932050704956,44.0,0.9888420104980469,2.0
121.0,0.0,484.03887939453125,40.0477294921875,1.0,43.0,0.9643411040306091,2.0
121.0,0.0,179.89320945739746,196.2310333251953,0.9999921321868896,43.0,0.9686091542243958,2.0
123.0,0.0,247.6270809173584,308.30037689208984,0.9999998807907104,43.0,0.9714957475662231,2.0
125.0,0.0,279.393274307251,355.47740364074707,1.0,44.0,0.9814257621765137,2.0
127.0,0.0,143.79884719848633,183.97760581970215,1.0,42.0,0.9582729339599609,2.0
128.0,0.0,195.8024616241455,307.5171432495117,1.0,42.0,0.948592483997345,2.0
128.0,0.0,139.65868949890137,179.75944328308105,1.0,43.0,0.9723494052886963,2.0
130.0,0.0,31.509567260742188,39.928415298461914,1.0,43.0,0.9742974638938904,2.0
131.0,0.0,91.80194091796875,247.5602684020996,1.0,44.0,0.9841315746307373,2.0
132.0,0.0,167.85665321350098,423.66673851013184,1.0,43.0,0.9765832424163818,2.0
134.0,0.0,160.04204177856445,420.0649833679199,1.0,42.0,0.9521540403366089,2.0
134.0,0.0,167.81635856628418,296.27360916137695,1.0,42.0,0.9459478855133057,2.0
134.0,0.0,48.10868453979492,144.38706970214844,1.0,43.0,0.9788471460342407,2.0
135.0,0.0,100.11035537719727,211.87490463256836,1.0,44.0,0.9811856150627136,2.0
136.0,0.0,263.3291015625,31.887243270874023,1.0,43.0,0.97718346118927,2.0
136.0,0.0,152.06957626342773,207.75631523132324,0.9999997615814209,41.0,0.9323052167892456,2.0
137.0,0.0,412.21853256225586,36.2532844543457,1.0,42.0,0.9545601606369019,2.0
138.0,0.0,411.22053146362305,32.17295455932617,1.0,44.0,0.9811339378356934,2.0
140.0,0.0,76.69731140136719,80.1362075805664,1.0,42.0,0.9568331241607666,2.0
141.0,0.0,184.38581085205078,199.9524803161621,1.0,42.0,0.9565823078155518,2.0
143.0,0.0,183.7360553741455,204.11108016967773,0.9999994039535522,42.0,0.9472185969352722,2.0
146.0,0.0,67.60758972167969,36.470985412597656,1.0,42.0,0.9553627967834473,2.0
146.0,0.0,263.1567802429199,56.5980224609375,0.9999912977218628,42.0,0.9520288705825806,2.0
147.0,0.0,499.75643730163574,472.1141166687012,1.0,41.0,0.9337331056594849,2.0
147.0,0.0,171.91045761108398,379.83891677856445,0.9999996423721313,43.0,0.9634350538253784,2.0
148.0,0.0,499.7744960784912,467.8271484375,1.0,40.0,0.9017587304115295,2.0
148.0,0.0,66.7625503540039,32.255489349365234,0.9999762773513794,44.0,0.9832242131233215,2.0
149.0,0.0,175.73649978637695,376.04352951049805,1.0,42.0,0.9564496278762817,2.0
149.0,0.0,191.8943328857422,100.09234237670898,1.0,43.0,0.9728292226791382,2.0
150.0,0.0,44.00402069091797,196.11360931396484,1.0,44.0,0.9799410104751587,2.0
150.0,0.0,255.62393760681152,43.87345314025879,0.9999790191650391,42.0,0.9387932419776917,2.0
151.0,0.0,43.95662498474121,99.93807029724121,1.0,43.0,0.9711424112319946,2.0
151.0,0.0,203.95201873779297,428.0080032348633,1.0,44.0,0.9840315580368042,2.0
151.0,0.0,88.63498306274414,148.2348403930664,0.9998362064361572,42.0,0.951769232749939,2.0
152.0,0.0,31.433561325073242,303.8561534881592,1.0,43.0,0.9726643562316895,2.0
153.0,0.0,31.647308349609375,303.9630603790283,1.0,43.0,0.9738332629203796,2.0
154.0,0.0,59.06114959716797,207.63614654541016,1.0,42.0,0.951152503490448,2.0
154.0,0.0,43.64897918701172,256.4510688781738,1.0,42.0,0.9444611072540283,2.0
155.0,0.0,195.88469696044922,408.09675216674805,1.0,43.0,0.9700787663459778,2.0
156.0,0.0,59.724138259887695,75.85541534423828,1.0,42.0,0.9535512924194336,2.0
156.0,0.0,203.5301170349121,248.17743682861328,1.0,44.0,0.9856961369514465,2.0
157.0,0.0,255.7711009979248,87.77896118164062,1.0,42.0,0.9391334652900696,2.0
158.0,0.0,48.14407730102539,72.06415176391602,1.0,43.0,0.9697619676589966,2.0
158.0,0.0,207.25771141052246,248.05532455444336,0.9999994039535522,43.0,0.9766968488693237,2.0
159.0,0.0,247.794527053833,84.11509323120117,1.0,43.0,0.9775242805480957,2.0
165.0,0.0,51.82281494140625,48.17544174194336,1.0,43.0,0.9735044240951538,2.0
166.0,0.0,251.55792045593262,35.868818283081055,0.9999984502792358,42.0,0.9527677297592163,2.0
166.0,0.0,501.0739974975586,384.54003524780273,0.9999815225601196,42.0,0.9537630081176758,2.0
167.0,0.0,103.78691673278809,283.8659248352051,1.0,44.0,0.9867581129074097,2.0
168.0,0.0,103.7238540649414,283.9701633453369,1.0,44.0,0.9809905886650085,2.0
168.0,0.0,267.897741317749,52.49288558959961,0.9999473094940186,42.0,0.9503793716430664,2.0
171.0,0.0,271.2761993408203,463.4398670196533,1.0,42.0,0.9578770399093628,2.0
171.0,0.0,211.1051025390625,355.4979496002197,0.9999992847442627,44.0,0.9908816814422607,2.0
172.0,0.0,160.15240859985352,262.20309829711914,1.0,41.0,0.9269545674324036,2.0
174.0,0.0,192.43431091308594,276.5182418823242,1.0,42.0,0.9529856443405151,2.0
174.0,0.0,423.81989669799805,465.05859375,0.9999994039535522,42.0,0.9491673707962036,2.0
174.0,0.0,55.64090538024902,40.514835357666016,0.9999992847442627,43.0,0.9612822532653809,2.0
175.0,0.0,139.9763412475586,307.9427833557129,1.0,43.0,0.974913477897644,2.0
175.0,0.0,35.744606018066406,472.00336837768555,1.0,43.0,0.9642006754875183,2.0
175.0,0.0,489.08966064453125,368.37282943725586,0.9999971389770508,42.0,0.9502763748168945,2.0
176.0,0.0,283.6381893157959,493.0110206604004,1.0,42.0,0.9424440860748291,2.0
177.0,0.0,248.25299072265625,72.24805068969727,0.9999997615814209,42.0,0.9563696980476379,2.0
178.0,0.0,283.7659492492676,491.63444900512695,1.0,42.0,0.9502440690994263,2.0
178.0,0.0,271.2317371368408,88.13552856445312,0.9999984502792358,43.0,0.9625787734985352,2.0
179.0,0.0,496.8370666503906,60.076602935791016,1.0,43.0,0.9688234925270081,2.0
179.0,0.0,263.9323139190674,275.9908752441406,0.9999997615814209,43.0,0.9640234708786011,2.0
179.0,0.0,167.84185791015625,404.1233901977539,0.9999972581863403,43.0,0.9685379266738892,2.0
180.0,0.0,463.64099884033203,484.2727470397949,1.0,41.0,0.9189298152923584,2.0
182.0,0.0,247.92295837402344,35.98063087463379,1.0,42.0,0.9574632048606873,2.0
182.0,0.0,311.9935760498047,445.0335350036621,0.9999996423721313,42.0,0.9427672624588013,2.0
183.0,0.0,497.0874710083008,91.85423851013184,1.0,43.0,0.9726282358169556,2.0
183.0,0.0,315.9850273132324,449.0883255004883,1.0,42.0,0.947569727897644,2.0
184.0,0.0,247.78379821777344,32.0123291015625,1.0,44.0,0.9833490252494812,2.0
184.0,0.0,47.60196876525879,40.333641052246094,0.9999829530715942,43.0,0.9666933417320251,2.0
186.0,0.0,256.2066764831543,509.09274673461914,1.0,44.0,0.9874832630157471,2.0
186.0,0.0,299.67158126831055,307.5378875732422,1.0,43.0,0.9681007266044617,2.0
186.0,0.0,283.77581787109375,76.83435440063477,1.0,40.0,0.9085581302642822,2.0
186.0,0.0,504.96578216552734,368.3364677429199,0.9997610449790955,42.0,0.9575614929199219,2.0
187.0,0.0,188.35834503173828,96.08439636230469,1.0,42.0,0.9520773887634277,2.0
188.0,0.0,200.11200714111328,100.28350067138672,1.0,43.0,0.9638779163360596,2.0
