T,Z,Y,X,Score,Size,Confidence,Angle
1.0,11.0,635.7388896942139,821.6726493835449,1.0,23.0,0.9388311505317688,2.0
1.0,11.0,248.03884887695312,422.56884002685547,1.0,16.0,0.9706377983093262,2.0
1.0,11.0,215.82575798034668,508.01042556762695,0.9999998807907104,19.0,0.9430169463157654,2.0
1.0,11.0,587.7726535797119,721.5697269439697,0.9999997615814209,20.0,0.9140167832374573,2.0
1.0,11.0,737.6377506256104,159.7654628753662,0.999998927116394,25.0,0.9049993753433228,2.0
1.0,11.0,730.2249908447266,389.8864097595215,0.9999942779541016,22.0,0.9200102090835571,2.0
1.0,11.0,1014.0611724853516,707.0373687744141,0.9999712705612183,17.0,0.9210212230682373,2.0
1.0,11.0,580.3150405883789,702.4414253234863,0.9999698400497437,19.0,0.9697149395942688,2.0
1.0,11.0,155.91306114196777,850.0635871887207,0.9999558925628662,10.0,0.9560238122940063,2.0
1.0,11.0,966.0630187988281,390.522159576416,0.9999505281448364,19.0,0.9195836186408997,2.0
1.0,11.0,496.1295356750488,838.5202713012695,0.9998701810836792,18.0,0.915181577205658,2.0
1.0,11.0,991.5159130096436,631.9087829589844,0.9998562335968018,17.0,0.9298580884933472,2.0
2.0,11.0,564.045482635498,168.9459686279297,1.0,15.0,0.9349192976951599,2.0
2.0,11.0,532.3095092773438,798.4099235534668,1.0,18.0,0.9434342384338379,2.0
2.0,11.0,687.680118560791,278.98615646362305,1.0,19.0,0.924554705619812,2.0
2.0,11.0,929.7923355102539,369.2820453643799,0.9999998807907104,20.0,0.9466270208358765,2.0
2.0,11.0,587.8234958648682,499.0433654785156,0.9999997615814209,14.0,0.9154164791107178,2.0
2.0,11.0,520.0733757019043,769.9606342315674,0.9999985694885254,20.0,0.9041323661804199,2.0
2.0,11.0,845.348014831543,687.8007564544678,0.9999978542327881,27.0,0.904564380645752,2.0
2.0,11.0,240.0567741394043,414.80702209472656,0.9999953508377075,11.0,0.9433373212814331,2.0
2.0,11.0,833.8026466369629,688.2202796936035,0.9999940395355225,14.0,0.900824785232544,2.0
2.0,11.0,579.8407878875732,596.2287673950195,0.9999788999557495,17.0,0.9324142932891846,2.0
2.0,11.0,659.9048175811768,584.8527030944824,0.9999557733535767,24.0,0.9288316965103149,2.0
2.0,11.0,270.4096221923828,228.0872917175293,0.9999513626098633,26.0,0.9159213304519653,2.0
2.0,11.0,559.8014621734619,591.6099796295166,0.9999064207077026,17.0,0.9199792146682739,2.0
3.0,11.0,253.60786819458008,229.79437255859375,1.0,16.0,0.9514459371566772,2.0
3.0,11.0,798.0311508178711,144.26580429077148,1.0,18.0,0.9443578124046326,2.0
3.0,11.0,802.5588760375977,809.2815074920654,0.9999998807907104,17.0,0.9317094087600708,2.0
3.0,11.0,656.162052154541,302.65879821777344,0.9999996423721313,27.0,0.9492105841636658,2.0
3.0,11.0,818.2238578796387,480.87524032592773,0.9999990463256836,19.0,0.9210411310195923,2.0
3.0,11.0,580.4463500976562,749.5883941650391,0.9999980926513672,17.0,0.9001926779747009,2.0
